date_added,arxiv_id,title,category_guess,status,note_path,paper_url,code_url,affiliations,decision,notes
2026-03-25,2410.14731,"MatryoshkaKV: Adaptive KV Compression via Trainable Orthogonal Projection",compression_and_sparsification,promoted,arxiv-tracker/notes/2026/2026-03-25-2410.14731-matryoshkakv.md,https://arxiv.org/abs/2410.14731,,"not verified from accessible primary metadata",promote,"ICLR 2025 Poster; hidden-dimension KV compression via trainable orthogonal projection"
2026-03-25,2410.21465,"ShadowKV: KV Cache in Shadows for High-Throughput Long-Context LLM Inference",offloading_and_disaggregated_serving,promoted,arxiv-tracker/notes/2026/2026-03-25-2410.21465-shadowkv.md,https://arxiv.org/abs/2410.21465,,"not verified from accessible primary metadata",promote,"ICML 2025 Spotlight Poster; low-rank key shadows plus value offload"
2026-03-25,2404.04793,"SqueezeAttention: 2D Management of KV-Cache in LLM Inference via Layer-wise Optimal Budget",eviction_and_budget_allocation,promoted,arxiv-tracker/notes/2026/2026-03-25-2404.04793-squeezeattention.md,https://arxiv.org/abs/2404.04793,https://github.com/hetailang/SqueezeAttention,"not verified from accessible primary metadata",promote,"ICLR 2025 Poster; layer-wise budget allocation plus token sparsification"
2026-03-25,2407.15891,"RazorAttention: Efficient KV Cache Compression Through Retrieval Heads",compression_and_sparsification,promoted,arxiv-tracker/notes/2026/2026-03-25-2407.15891-razorattention.md,https://arxiv.org/abs/2407.15891,,"Huawei Technologies Co., Ltd",promote,"ICLR 2025 Poster; retrieval-head-based training-free KV compression"
2026-03-25,2407.21118,"Palu: KV-Cache Compression with Low-Rank Projection",compression_and_sparsification,promoted,arxiv-tracker/notes/2026/2026-03-25-2407.21118-palu.md,https://arxiv.org/abs/2407.21118,,"not verified from accessible primary metadata",promote,"ICLR 2025; low-rank projection for hidden-dimension KV compression"
2026-03-25,2411.01142,"NEO: Saving GPU Memory Crisis with CPU Offloading for Online LLM Inference",offloading_and_disaggregated_serving,promoted,arxiv-tracker/notes/2026/2026-03-25-2411.01142-neo.md,https://arxiv.org/abs/2411.01142,,"not verified from accessible primary metadata",promote,"MLSys 2025; asymmetric GPU-CPU pipelining with partial attention offload"
2026-03-25,2411.19379,"Marconi: Prefix Caching for the Era of Hybrid LLMs",prefix_reuse_and_prompt_cache,promoted,arxiv-tracker/notes/2026/2026-03-25-2411.19379-marconi.md,https://arxiv.org/abs/2411.19379,,"not verified from accessible primary metadata",promote,"MLSys 2025; reuse-aware admission and eviction for hybrid LLM prefix caching"
2026-03-25,2503.12491,"CAKE: Cascading and Adaptive KV Cache Eviction with Layer Preferences",eviction_and_budget_allocation,promoted,arxiv-tracker/notes/2026/2026-03-25-2503.12491-cake.md,https://arxiv.org/abs/2503.12491,https://github.com/antgroup/cakekv,"not verified from accessible primary metadata",promote,"ICLR 2025; layer-aware adaptive KV eviction"
2026-03-25,2502.04420,"KVTuner: Sensitivity-Aware Layer-Wise Mixed-Precision KV Cache Quantization for Efficient and Nearly Lossless LLM Inference",quantization,promoted,arxiv-tracker/notes/2026/2026-03-25-2502.04420-kvtuner.md,https://arxiv.org/abs/2502.04420,https://github.com/cmd2001/KVTuner,"not verified from accessible primary metadata",promote,"ICML 2025; layer-wise mixed-precision KV quantization"
2026-03-25,2502.14051,"RocketKV: Accelerating Long-Context LLM Inference via Two-Stage KV Cache Compression",compression_and_sparsification,promoted,arxiv-tracker/notes/2026/2026-03-25-2502.14051-rocketkv.md,https://arxiv.org/abs/2502.14051,,"not verified from accessible primary metadata",promote,"ICML 2025; coarse eviction plus fine-grain sparse attention"
2026-03-25,2503.16163,"SpeCache: Speculative Key-Value Caching for Efficient Generation of LLMs",offloading_and_disaggregated_serving,promoted,arxiv-tracker/notes/2026/2026-03-25-2503.16163-specache.md,https://arxiv.org/abs/2503.16163,,"not verified from accessible primary metadata",promote,"ICML 2025; CPU-offloaded full KV with speculative prefetch"
2026-03-25,2504.15364,"KeyDiff: Key Similarity-Based KV Cache Eviction for Long-Context LLM Inference in Resource-Constrained Environments",eviction_and_budget_allocation,promoted,arxiv-tracker/notes/2026/2026-03-25-2504.15364-keydiff.md,https://arxiv.org/abs/2504.15364,,"not verified from accessible primary metadata",promote,"NeurIPS 2025 Poster; training-free key-similarity KV eviction"
2026-03-25,2505.19586,"TailorKV: A Hybrid Framework for Long-Context Inference via Tailored KV Cache Optimization",offloading_and_disaggregated_serving,promoted,arxiv-tracker/notes/2026/2026-03-25-2505.19586-tailorkv.md,https://arxiv.org/abs/2505.19586,,"not verified from accessible primary metadata",promote,"Findings of ACL 2025; dominant-token loading plus quantization"
2026-03-25,2505.20334,"Lookahead Q-Cache: Achieving More Consistent KV Cache Eviction via Pseudo Query",eviction_and_budget_allocation,promoted,arxiv-tracker/notes/2026/2026-03-25-2505.20334-lookahead-q-cache.md,https://arxiv.org/abs/2505.20334,,"not verified from accessible primary metadata",promote,"EMNLP 2025 Main; pseudo-query-based KV eviction"
2026-03-25,2506.02634,"KVCache Cache in the Wild: Characterizing and Optimizing KVCache Cache at a Large Cloud Provider",prefix_reuse_and_prompt_cache,promoted,arxiv-tracker/notes/2026/2026-03-25-2506.02634-kvcache-cache-in-the-wild.md,https://arxiv.org/abs/2506.02634,,"not verified from accessible primary metadata",promote,"USENIX ATC 2025; production-trace KV cache characterization and workload-aware eviction"
2026-03-25,2506.18879,"CommVQ: Commutative Vector Quantization for KV Cache Compression",quantization,promoted,arxiv-tracker/notes/2026/2026-03-25-2506.18879-commvq.md,https://arxiv.org/abs/2506.18879,,"not verified from accessible primary metadata",promote,"ICML 2025; RoPE-compatible vector quantization for KV compression"
2026-03-25,2507.03153,"HGCA: Hybrid GPU-CPU Attention for Long Context LLM Inference",offloading_and_disaggregated_serving,promoted,arxiv-tracker/notes/2026/2026-03-25-2507.03153-hgca.md,https://arxiv.org/abs/2507.03153,,"not verified from accessible primary metadata",promote,"Highly relevant arXiv systems paper; hybrid GPU dense attention plus CPU sparse attention"
2026-03-25,2510.11236,"XQuant: Achieving Ultra-Low Bit KV Cache Quantization with Cross-Layer Compression",quantization,promoted,arxiv-tracker/notes/2026/2026-03-25-2510.11236-xquant.md,https://arxiv.org/abs/2510.11236,https://github.com/brinenick511/XQuant,"not verified from accessible primary metadata",promote,"EMNLP 2025 Main; sub-1.4-bit KV quantization with cross-layer compression"
2026-03-25,2511.01815,"KV Cache Transform Coding for Compact Storage in LLM Inference",compression_and_sparsification,promoted,arxiv-tracker/notes/2026/2026-03-25-2511.01815-kvtc.md,https://arxiv.org/abs/2511.01815,,"University of Warsaw; NVIDIA (publicly identifiable affiliations from author pages)",promote,"ICLR 2026 Poster on OpenReview; practical compact storage for reusable KV caches"
2026-03-25,2505.00570,"FreqKV: Key-Value Compression in Frequency Domain for Context Window Extension",compression_and_sparsification,promoted,arxiv-tracker/notes/2026/2026-03-25-2505.00570-freqkv.md,https://arxiv.org/abs/2505.00570,https://github.com/LUMIA-Group/FreqKV,"LUMIA Lab, Shanghai Jiao Tong University; Huawei Noah's Ark Lab; Shanghai Jiao Tong University; Shanghai Innovation Institute",promote,"ICLR 2026 Poster on OpenReview; frequency-domain KV compression for context extension"
2026-03-25,2602.21548,"DualPath: Breaking the Storage Bandwidth Bottleneck in Agentic LLM Inference",offloading_and_disaggregated_serving,promoted,arxiv-tracker/notes/2026/2026-03-25-2602.21548-dualpath.md,https://arxiv.org/abs/2602.21548,,"DeepSeek-AI; Peking University; Tsinghua University (publicly identifiable affiliations; partial inference from author homepage and public coverage)",promote,"2026-02-25 submission; strong disaggregated KV transfer/system paper"
2026-03-25,2602.23592,"KEEP: A KV-Cache-Centric Memory Management System for Efficient Embodied Planning",memory_management_and_cache_layout,promoted,arxiv-tracker/notes/2026/2026-03-25-2602.23592-keep.md,https://arxiv.org/abs/2602.23592,https://github.com/PKU-SEC-Lab/KEEP_Embodied_Memory,"Peking University; Microsoft Research Asia (publicly identifiable affiliations from project/lab pages)",promote,"2026-02-27 submission; DAC 2026 comment on arXiv"
2026-03-25,2603.00907,"KVSlimmer: Theoretical Insights and Practical Optimizations for Asymmetric KV Merging",compression_and_sparsification,promoted,arxiv-tracker/notes/2026/2026-03-25-2603.00907-kvslimmer.md,https://arxiv.org/abs/2603.00907,,"Jilin University; Wenzhou Medical University (publicly identifiable affiliations from author public profiles; full mapping not verified)",promote,"2026-03-01 submission; theory-backed KV merging"
2026-03-25,2603.01426,"Understanding the Physics of Key-Value Cache Compression for LLMs through Attention Dynamics",compression_and_sparsification,noted,arxiv-tracker/notes/2026/2026-03-25-2603.01426-kv-physics.md,https://arxiv.org/abs/2603.01426,,"Indian Institute of Technology Delhi",keep watching,"2026-03-02 submission; analysis paper on compression regimes and safety cliffs"
2026-03-25,2603.02188,"Multi-Head Low-Rank Attention",system_and_kernel_codesign,noted,arxiv-tracker/notes/2026/2026-03-25-2603.02188-mlra.md,https://arxiv.org/abs/2603.02188,https://github.com/songtaoliu0823/MLRA,"Penn State; Adobe Research (publicly identifiable affiliations from author pages; full author-to-affiliation mapping not verified)",keep watching,"2026-03-02 submission; ICLR 2026 according to arXiv comments"
